category,month,order_count,total_revenue,avg_revenue
Bakery,2026-01,12,2160.0,180.0
Bakery,2026-02,10,4795.0,479.5
Bakery,2026-03,8,2250.0,281.25
Bakery,2026-04,7,1940.0,277.14
Bakery,2026-05,8,2615.0,326.88
Bakery,2026-06,11,2525.0,229.55
Dairy & Eggs,2026-01,10,1547.0,154.7
Dairy & Eggs,2026-02,11,2099.0,190.82
Dairy & Eggs,2026-03,9,1539.0,171.0
Dairy & Eggs,2026-04,12,2637.0,219.75
Dairy & Eggs,2026-05,12,2525.0,210.42
Dairy & Eggs,2026-06,15,2779.0,185.27
Fruits & Vegetables,2026-01,12,1950.0,162.5
Fruits & Vegetables,2026-02,14,2210.0,157.86
Fruits & Vegetables,2026-03,8,970.0,121.25
Fruits & Vegetables,2026-04,15,2830.0,188.67
Fruits & Vegetables,2026-05,12,2050.0,170.83
Fruits & Vegetables,2026-06,7,1410.0,201.43
Household Essentials,2026-01,17,7100.0,417.65
Household Essentials,2026-02,17,8520.0,501.18
Household Essentials,2026-03,9,2830.0,314.44
Household Essentials,2026-04,16,7195.0,449.69
Household Essentials,2026-05,19,6470.0,340.53
Household Essentials,2026-06,12,4090.0,340.83
Personal Care,2026-01,7,2290.0,327.14
Personal Care,2026-02,11,3010.0,273.64
Personal Care,2026-03,18,4515.0,250.83
Personal Care,2026-04,11,2385.0,216.82
Personal Care,2026-05,6,1735.0,289.17
Personal Care,2026-06,14,3565.0,254.64
Snacks & Beverages,2026-01,15,2590.0,172.67
Snacks & Beverages,2026-02,5,480.0,96.0
Snacks & Beverages,2026-03,16,3165.0,197.81
Snacks & Beverages,2026-04,10,2410.0,241.0
Snacks & Beverages,2026-05,14,2290.0,163.57
Snacks & Beverages,2026-06,11,2115.0,192.27
