order_id,customer_id,product_id,order_date,quantity,amount,rating,status
O0001,C034,P030,2026-01-01,2,240,4,Delivered
O0002,C005,P022,2026-02-14,3,780,5,Delivered
O0003,C043,P028,2026-03-11,1,90,4,Delivered
O0004,C020,P022,2026-04-17,4,1040,4,Delivered
O0005,C045,P010,2026-05-13,2,180,4,Delivered
O0006,C043,P013,2026-06-14,2,220,5,Delivered
O0007,C020,P013,2026-01-19,1,110,4,Delivered
O0008,C014,P014,2026-02-10,3,,5,Delivered
O0009,C029,P022,2026-03-15,2,520,5,Delivered
O0010,C048,P006,2026-04-16,1,62,4,Delivered
O0011,C043,P021,2026-05-17,3,345,3,Delivered
O0012,C049,P008,2026-06-27,3,285,4,Delivered
O0013,C013,P005,2026-01-26,1,60,3,Delivered
O0014,C031,P020,2026-02-08,1,85,5,Delivered
O0015,C041,P019,2026-03-14,2,210,5,Delivered
O0016,C026,P008,2026-04-16,2,190,3,Delivered
O0017,C050,P029,2026-05-25,1,250,5,Delivered
O0018,C012,P026,2026-06-08,4,180,3,Delivered
O0019,C016,P030,2026-01-18,1,120,5,Delivered
O0020,C030,P022,2026-02-05,3,780,,Cancelled
O0021,C029,P020,2026-03-25,4,340,5,Delivered
O0022,C011,P024,2026-04-15,4,500,5,Delivered
O0023,C049,P008,2026-05-09,3,285,5,Delivered
O0024,C041,P008,2026-06-16,3,285,,Cancelled
O0025,C005,P023,2026-01-15,3,450,4,Delivered
O0026,C022,P011,2026-02-09,1,35,4,Delivered
O0027,C015,P013,2026-03-05,2,220,4,Delivered
O0028,C027,P014,2026-04-03,3,165,5,Delivered
O0029,C027,P002,2026-05-15,2,110,5,Delivered
O0030,C050,P019,2026-06-13,1,105,5,Delivered
O0031,C031,P001,2026-01-13,3,360,4,Delivered
O0032,C025,P028,2026-02-25,4,360,5,Delivered
O0033,C048,P018,2026-03-24,2,260,5,Delivered
O0034,C018,P014,2026-04-08,4,220,3,Delivered
O0035,C022,P022,2026-05-13,4,1040,4,Delivered
O0036,C030,P030,2026-06-27,2,240,5,Delivered
O0037,C002,P030,2026-01-18,4,480,5,Delivered
O0038,C043,P001,2026-02-19,1,120,5,Delivered
O0039,C030,P006,2026-03-05,1,62,4,Delivered
O0040,C021,P007,2026-04-13,4,180,4,Delivered
O0041,C049,P029,2026-05-11,4,1000,4,Delivered
O0042,C027,P009,2026-06-25,1,,5,Delivered
O0043,C048,P018,2026-01-01,1,130,4,Delivered
O0044,C042,P003,2026-02-08,1,45,3,Delivered
O0045,C013,P027,2026-03-08,1,55,5,Delivered
O0046,C016,P005,2026-04-05,4,240,3,Delivered
O0047,C014,P015,2026-05-19,3,420,4,Delivered
O0048,C039,P020,2026-06-06,1,85,4,Delivered
O0049,C007,P019,2026-01-10,1,105,4,Delivered
O0050,C044,P030,2026-02-19,4,480,5,Delivered
O0051,C013,P003,2026-03-23,2,90,,Pending
O0052,C045,P025,2026-04-04,3,270,5,Delivered
O0053,C008,P026,2026-05-26,1,45,4,Delivered
O0054,C028,P022,2026-06-18,3,780,3,Delivered
O0055,C042,P011,2026-01-17,1,35,5,Delivered
O0056,C032,P004,2026-02-27,4,280,,Cancelled
O0057,C041,P029,2026-03-12,4,1000,4,Delivered
O0058,C012,P024,2026-04-14,3,375,,Cancelled
O0059,C035,P025,2026-05-20,4,360,5,Delivered
O0060,C047,P019,2026-06-14,3,315,4,Delivered
O0061,C016,P027,2026-01-28,1,55,4,Delivered
O0062,C016,P025,2026-02-15,4,360,5,Delivered
O0063,C043,P013,2026-03-20,3,330,3,Delivered
O0064,C021,P006,2026-04-16,4,248,4,Delivered
O0065,C017,P011,2026-05-12,3,105,5,Delivered
O0066,C018,P018,2026-06-23,1,130,5,Delivered
O0067,C006,P008,2026-01-07,4,380,,Pending
O0068,C036,P025,2026-02-16,2,180,5,Delivered
O0069,C046,P016,2026-03-21,4,0,,Pending
O0070,C002,P003,2026-04-26,3,135,4,Delivered
O0071,C045,P008,2026-05-13,3,285,5,Delivered
O0072,C031,P018,2026-06-12,3,390,5,Delivered
O0073,C036,P011,2026-01-24,3,105,5,Delivered
O0074,C020,P009,2026-02-09,2,120,3,Delivered
O0075,C013,P011,2026-03-24,1,35,5,Delivered
O0076,C045,P006,2026-04-25,2,124,4,Delivered
O0077,C031,P009,2026-05-24,3,180,3,Delivered
O0078,C013,P010,2026-06-27,2,180,4,Delivered
O0079,C020,P001,2026-01-06,2,240,4,Delivered
O0080,C004,P018,2026-02-02,3,390,4,Delivered
O0081,C049,P016,2026-03-21,1,0,3,Delivered
O0082,C019,P016,2026-04-19,4,0,5,Delivered
O0083,C012,P002,2026-05-11,3,165,5,Delivered
O0084,C005,P013,2026-06-04,4,440,3,Delivered
O0085,C041,P022,2026-01-19,1,260,4,Delivered
O0086,C037,P010,2026-02-05,1,90,4,Delivered
O0087,C036,P025,2026-03-04,4,360,5,Delivered
O0088,C040,P008,2026-04-20,4,380,5,Delivered
O0089,C020,P028,2026-05-15,4,,,Cancelled
O0090,C037,P020,2026-06-10,1,85,5,Delivered
O0091,C007,P025,2026-01-24,2,180,4,Delivered
O0092,C043,P003,2026-02-09,2,90,4,Delivered
O0093,C036,P003,2026-03-06,2,90,3,Delivered
O0094,C029,P023,2026-04-14,4,600,4,Delivered
O0095,C015,P010,2026-05-02,3,270,5,Delivered
O0096,C044,P008,2026-06-03,3,285,5,Delivered
O0097,C013,P014,2026-01-22,1,55,5,Delivered
O0098,C042,P005,2026-02-08,3,180,4,Delivered
O0099,C004,P006,2026-03-03,3,186,5,Delivered
O0100,C037,P030,2026-04-24,3,360,5,Delivered
O0101,C030,P023,2026-05-04,3,450,5,Delivered
O0102,C033,P018,2026-06-09,4,520,5,Delivered
O0103,C039,P002,2026-01-03,4,220,4,Delivered
O0104,C017,P001,2026-02-20,1,120,4,Delivered
O0105,C037,P019,2026-03-22,1,105,4,Delivered
O0106,C003,P025,2026-04-19,2,180,5,Delivered
O0107,C042,P015,2026-05-17,3,420,4,Delivered
O0108,C028,P021,2026-06-19,4,460,3,Delivered
O0109,C023,P014,2026-01-16,3,165,,Cancelled
O0110,C043,P004,2026-02-11,2,140,4,Delivered
O0111,C045,P016,2026-03-14,3,0,5,Delivered
O0112,C049,P018,2026-04-27,1,130,5,Delivered
O0113,C021,P009,2026-05-03,3,180,3,Delivered
O0114,C026,P028,2026-06-25,1,90,5,Delivered
O0115,C027,P002,2026-01-15,2,110,5,Delivered
O0116,C040,P025,2026-02-12,4,360,5,Delivered
O0117,C004,P007,2026-03-25,3,135,5,Delivered
O0118,C019,P015,2026-04-05,4,560,3,Delivered
O0119,C041,P020,2026-05-01,2,170,4,Delivered
O0120,C036,P001,2026-06-10,4,480,3,Delivered
O0121,C008,P015,2026-01-08,1,140,4,Delivered
O0122,C046,P010,2026-02-16,3,,,Cancelled
O0123,C031,P016,2026-03-14,2,0,,Cancelled
O0124,C036,P005,2026-04-15,4,240,4,Delivered
O0125,C033,P024,2026-05-20,2,250,3,Delivered
O0126,C050,P026,2026-06-09,4,180,4,Delivered
O0127,C033,P009,2026-01-26,1,60,4,Delivered
O0128,C020,P027,2026-02-24,4,220,4,Delivered
O0129,C035,P016,2026-03-15,3,0,4,Delivered
O0130,C049,P018,2026-04-18,4,520,5,Delivered
O0131,C013,P023,2026-05-11,2,300,5,Delivered
O0132,C015,P028,2026-06-13,4,360,,Cancelled
O0133,C021,P024,2026-01-02,4,500,5,Delivered
O0134,C043,P026,2026-02-13,2,90,5,Delivered
O0135,C009,P017,2026-03-02,3,660,3,Delivered
O0136,C029,P004,2026-04-28,4,280,3,Delivered
O0137,C010,P014,2026-05-24,2,110,3,Delivered
O0138,C017,P011,2026-06-16,4,140,,Pending
O0139,C006,P028,2026-01-21,3,270,5,Delivered
O0140,C021,P021,2026-02-13,4,460,5,Delivered
O0141,C040,P003,2026-03-02,2,90,4,Delivered
O0142,C048,P003,2026-04-08,4,180,3,Delivered
O0143,C041,P023,2026-05-25,1,150,5,Delivered
O0144,C045,P010,2026-06-06,1,90,3,Delivered
O0145,C004,P010,2026-01-11,3,270,4,Delivered
O0146,C010,P008,2026-02-14,4,380,5,Delivered
O0147,C012,P006,2026-03-22,2,124,3,Delivered
O0148,C025,P020,2026-04-20,2,170,5,Delivered
O0149,C010,P008,2026-05-19,4,380,4,Delivered
O0150,C017,P022,2026-06-15,1,260,5,Delivered
O0151,C044,P018,2026-01-10,2,260,3,Delivered
O0152,C023,P019,2026-02-15,3,315,5,Delivered
O0153,C017,P015,2026-03-23,3,420,4,Delivered
O0154,C031,P004,2026-04-13,2,140,5,Delivered
O0155,C023,P019,2026-05-19,3,315,4,Delivered
O0156,C043,P013,2026-06-01,3,330,3,Delivered
O0157,C044,P025,2026-01-19,1,90,5,Delivered
O0158,C032,P027,2026-02-24,3,165,4,Delivered
O0159,C023,P008,2026-03-20,2,190,,Cancelled
O0160,C017,P022,2026-04-20,2,,3,Delivered
O0161,C042,P002,2026-05-21,3,165,5,Delivered
O0162,C038,P012,2026-06-02,2,60,3,Delivered
O0163,C021,P024,2026-01-10,4,500,4,Delivered
O0164,C009,P026,2026-02-07,3,135,,Pending
O0165,C033,P030,2026-03-17,3,360,4,Delivered
O0166,C031,P026,2026-04-09,3,135,4,Delivered
O0167,C008,P015,2026-05-26,1,140,4,Delivered
O0168,C015,P028,2026-06-25,4,360,5,Delivered
O0169,C006,P026,2026-01-12,4,180,3,Delivered
O0170,C035,P004,2026-02-09,4,280,4,Delivered
O0171,C048,P022,2026-03-22,3,780,5,Delivered
O0172,C041,P012,2026-04-13,1,30,4,Delivered
O0173,C002,P020,2026-05-16,3,255,5,Delivered
O0174,C042,P003,2026-06-08,4,180,,Cancelled
O0175,C020,P021,2026-01-23,4,460,,Pending
O0176,C009,P002,2026-02-04,1,55,4,Delivered
O0177,C008,P004,2026-03-16,2,140,5,Delivered
O0178,C025,P015,2026-04-05,3,420,,Cancelled
O0179,C048,P023,2026-05-22,4,600,,Pending
O0180,C048,P024,2026-06-19,2,250,5,Delivered
O0181,C007,P027,2026-01-21,4,220,5,Delivered
O0182,C018,P002,2026-02-14,3,165,4,Delivered
O0183,C029,P008,2026-03-15,3,285,3,Delivered
O0184,C024,P018,2026-04-22,3,390,,Pending
O0185,C026,P009,2026-05-02,2,120,3,Delivered
O0186,C030,P003,2026-06-28,2,90,5,Delivered
O0187,C004,P026,2026-01-01,3,135,4,Delivered
O0188,C037,P007,2026-02-05,1,45,5,Delivered
O0189,C038,P007,2026-03-07,2,90,,Pending
O0190,C050,P005,2026-04-11,1,60,4,Delivered
O0191,C010,P005,2026-05-28,3,180,4,Delivered
O0192,C043,P028,2026-06-04,1,90,4,Delivered
O0193,C023,P026,2026-01-01,2,90,5,Delivered
O0194,C002,P006,2026-02-11,3,186,3,Delivered
